user_id,product_id,rating,age,gender,occupation,zip_code
32,57,5,23,Female,Professional,69938
32,733,5,23,Female,Professional,69938
65,809,1,41,Male,Professional,94654
30,211,4,65,Female,Student,50051
27,530,4,35,Female,Professional,79142
65,130,5,22,Female,Professional,15382
45,288,3,43,Female,Retired,77824
62,283,1,59,Male,Professional,48542
29,821,5,29,Female,Student,47759
24,621,1,59,Male,Student,92941
42,611,3,39,Female,Student,93336
55,250,2,38,Male,Student,37712
18,906,3,55,Male,Retired,28424
10,564,4,45,Female,Professional,50864
42,128,3,65,Male,Student,89028
49,924,4,64,Female,Professional,96101
86,525,3,50,Male,Professional,78233
60,65,5,67,Male,Retired,31929
76,313,2,43,Male,Student,59989
4,3,3,33,Female,Professional,20620
51,40,5,35,Male,Student,77433
59,955,3,35,Male,Professional,94363
45,191,4,53,Male,Student,19698
96,559,5,35,Male,Professional,49404
4,896,3,39,Male,Retired,13519
49,82,3,60,Female,Professional,72032
42,977,2,62,Male,Student,57573
45,807,2,46,Male,Professional,64105
97,147,4,53,Male,Student,73147
98,570,1,58,Male,Professional,26498
1,401,5,28,Female,Student,19603
83,928,4,20,Female,Professional,31794
54,871,5,32,Female,Student,50265
61,298,1,42,Male,Retired,49038
45,374,3,61,Female,Retired,53089
93,733,5,62,Male,Professional,19447
40,733,5,62,Male,Student,85872
59,963,4,46,Female,Student,68872
85,693,5,23,Male,Student,43416
34,820,3,32,Male,Retired,94872
90,156,1,20,Male,Retired,81664
71,877,1,46,Male,Retired,64973
34,432,5,62,Male,Professional,54931
56,205,2,65,Female,Professional,21128
3,713,3,36,Female,Retired,68932
73,555,4,40,Female,Retired,74445
9,843,5,25,Male,Student,78213
80,181,2,59,Female,Student,15557
59,463,5,59,Female,Professional,72621
7,663,4,51,Male,Retired,45691
5,479,1,36,Female,Professional,80672
23,144,4,37,Female,Professional,33114
82,346,3,27,Male,Student,33690
55,375,5,35,Male,Professional,95654
69,949,2,28,Male,Professional,97691
3,635,5,21,Female,Professional,45874
66,689,5,19,Female,Student,15681
32,165,1,34,Male,Student,79325
11,591,2,40,Male,Student,51255
59,851,2,50,Male,Professional,15267
92,905,4,28,Female,Student,48545
31,149,1,55,Female,Retired,96457
73,295,3,56,Male,Professional,77255
28,310,4,38,Female,Retired,53884
63,987,1,24,Female,Student,52705
10,769,3,62,Female,Retired,12918
23,43,5,20,Male,Professional,18810
69,193,1,46,Male,Professional,61686
9,354,4,40,Male,Retired,58492
36,673,1,63,Female,Professional,33803
34,634,4,46,Female,Retired,46998
75,167,1,69,Female,Retired,59612
71,927,4,19,Female,Retired,67148
69,780,1,29,Male,Student,75017
12,557,3,56,Male,Student,39059
74,678,3,27,Male,Professional,45148
62,490,4,18,Male,Professional,39668
80,841,3,37,Female,Professional,13233
27,607,4,19,Female,Professional,52379
31,518,5,69,Female,Student,72264
88,100,4,66,Female,Retired,10400
88,890,4,62,Male,Professional,80480
91,421,3,68,Female,Professional,94639
4,425,3,37,Male,Student,51756
67,295,5,45,Female,Professional,13288
1,877,4,39,Male,Student,32550
81,173,3,48,Male,Student,29956
78,301,2,21,Male,Student,61246
34,853,3,45,Female,Retired,11628
1,871,1,42,Female,Retired,10261
37,746,4,46,Male,Student,21711
83,756,2,48,Male,Retired,68544
24,385,4,40,Male,Student,95282
73,510,2,55,Female,Student,96282
37,818,3,50,Male,Professional,16332
8,816,1,33,Female,Professional,40740
65,982,3,61,Female,Student,18862
8,840,5,34,Male,Retired,53108
59,635,1,69,Male,Professional,25758
43,44,1,58,Female,Student,20569
79,81,3,29,Male,Retired,47837
